Datetime,Water Level (m)
2024-04-07 00:00:00,-0.37389523
2024-04-07 01:00:00,-0.4761912
2024-04-07 02:00:00,-0.34663653
2024-04-07 03:00:00,-0.061267413
2024-04-07 04:00:00,0.1525935
2024-04-07 05:00:00,0.3756765
2024-04-07 06:00:00,0.63046944
2024-04-07 07:00:00,0.67454284
2024-04-07 08:00:00,0.44666448
2024-04-07 09:00:00,0.24156241
2024-04-07 10:00:00,0.048738483
2024-04-07 11:00:00,-0.141715
2024-04-07 12:00:00,-0.3145918
2024-04-07 13:00:00,-0.4453663
2024-04-07 14:00:00,-0.36347035
2024-04-07 15:00:00,-0.044065587
2024-04-07 16:00:00,0.17817034
2024-04-07 17:00:00,0.40519762
2024-04-07 18:00:00,0.6627228
2024-04-07 19:00:00,0.6855085
2024-04-07 20:00:00,0.45677206
2024-04-07 21:00:00,0.24920629
2024-04-07 22:00:00,0.04972585
2024-04-07 23:00:00,-0.15273093
2024-04-08 00:00:00,-0.33551878
2024-04-08 01:00:00,-0.4926126
2024-04-08 02:00:00,-0.5639649
2024-04-08 03:00:00,-0.30182618
2024-04-08 04:00:00,-0.019029373
2024-04-08 05:00:00,0.22352968
2024-04-08 06:00:00,0.5097942
2024-04-08 07:00:00,0.7236631
2024-04-08 08:00:00,0.6756563
2024-04-08 09:00:00,0.39273626
2024-04-08 10:00:00,0.19359086
2024-04-08 11:00:00,-0.009937578
2024-04-08 12:00:00,-0.20330435
2024-04-08 13:00:00,-0.3798053
2024-04-08 14:00:00,-0.50762707
2024-04-08 15:00:00,-0.34984806
2024-04-08 16:00:00,-0.029858094
2024-04-08 17:00:00,0.20228396
2024-04-08 18:00:00,0.44636008
2024-04-08 19:00:00,0.709912
2024-04-08 20:00:00,0.7014979
2024-04-08 21:00:00,0.4293719
2024-04-08 22:00:00,0.22449856
2024-04-08 23:00:00,0.022523282
2024-04-09 00:00:00,-0.18180513
2024-04-09 01:00:00,-0.36315084
2024-04-09 02:00:00,-0.5270181
2024-04-09 03:00:00,-0.50596523
2024-04-09 04:00:00,-0.16543247
2024-04-09 05:00:00,0.09145614
2024-04-09 06:00:00,0.34066916
2024-04-09 07:00:00,0.64572275
2024-04-09 08:00:00,0.78978974
2024-04-09 09:00:00,0.65705526
2024-04-09 10:00:00,0.3777267
2024-04-09 11:00:00,0.18225065
2024-04-09 12:00:00,-0.021777568
2024-04-09 13:00:00,-0.21136974
2024-04-09 14:00:00,-0.38171852
2024-04-09 15:00:00,-0.45343432
2024-04-09 16:00:00,-0.18654282
2024-04-09 17:00:00,0.08484495
2024-04-09 18:00:00,0.30964977
2024-04-09 19:00:00,0.5867054
2024-04-09 20:00:00,0.7552885
2024-04-09 21:00:00,0.63443154
2024-04-09 22:00:00,0.35957024
2024-04-09 23:00:00,0.16431037
2024-04-10 00:00:00,-0.040912773
2024-04-10 01:00:00,-0.23265703
2024-04-10 02:00:00,-0.4103194
2024-04-10 03:00:00,-0.5376456
2024-04-10 04:00:00,-0.38311806
2024-04-10 05:00:00,-0.048867922
2024-04-10 06:00:00,0.2002487
2024-04-10 07:00:00,0.4676298
2024-04-10 08:00:00,0.76545954
2024-04-10 09:00:00,0.8147478
2024-04-10 10:00:00,0.5953368
2024-04-10 11:00:00,0.35079318
2024-04-10 12:00:00,0.1492459
2024-04-10 13:00:00,-0.047916453
2024-04-10 14:00:00,-0.23252581
2024-04-10 15:00:00,-0.3870951
2024-04-10 16:00:00,-0.3830954
2024-04-10 17:00:00,-0.07065936
2024-04-10 18:00:00,0.15853232
2024-04-10 19:00:00,0.3788902
2024-04-10 20:00:00,0.6285463
2024-04-10 21:00:00,0.7034983
2024-04-10 22:00:00,0.47406742
2024-04-10 23:00:00,0.25649783
2024-04-11 00:00:00,0.062038865
2024-04-11 01:00:00,-0.1332068
2024-04-11 02:00:00,-0.31076968
2024-04-11 03:00:00,-0.46528727
2024-04-11 04:00:00,-0.49754152
2024-04-11 05:00:00,-0.21018685
2024-04-11 06:00:00,0.054736376
2024-04-11 07:00:00,0.30044702
2024-04-11 08:00:00,0.5989071
2024-04-11 09:00:00,0.7987906
2024-04-11 10:00:00,0.741186
2024-04-11 11:00:00,0.46110976
2024-04-11 12:00:00,0.26491037
2024-04-11 13:00:00,0.059810173
2024-04-11 14:00:00,-0.13231744
2024-04-11 15:00:00,-0.30165857
2024-04-11 16:00:00,-0.41987243
2024-04-11 17:00:00,-0.308724
2024-04-11 18:00:00,-0.02136041
2024-04-11 19:00:00,0.1715563
2024-04-11 20:00:00,0.3616047
2024-04-11 21:00:00,0.54562813
2024-04-11 22:00:00,0.48857236
2024-04-11 23:00:00,0.24450001
2024-04-12 00:00:00,0.07510759
2024-04-12 01:00:00,-0.11385511
2024-04-12 02:00:00,-0.28518167
2024-04-12 03:00:00,-0.446588
2024-04-12 04:00:00,-0.5596884
2024-04-12 05:00:00,-0.45110193
2024-04-12 06:00:00,-0.14704257
2024-04-12 07:00:00,0.080715515
2024-04-12 08:00:00,0.3156515
2024-04-12 09:00:00,0.5813558
2024-04-12 10:00:00,0.70168084
2024-04-12 11:00:00,0.5630162
2024-04-12 12:00:00,0.31817243
2024-04-12 13:00:00,0.13888113
2024-04-12 14:00:00,-0.048032444
2024-04-12 15:00:00,-0.22184101
2024-04-12 16:00:00,-0.37061
2024-04-12 17:00:00,-0.40713668
2024-04-12 18:00:00,-0.192904
2024-04-12 19:00:00,0.018889291
2024-04-12 20:00:00,0.19322821
2024-04-12 21:00:00,0.3372643
2024-04-12 22:00:00,0.3714294
2024-04-12 23:00:00,0.24376534
2024-04-13 00:00:00,0.073960036
